ADC_BIN,COUNT,SMOOTH
0,530,"114,315789473684"
1,97,"60,4736842105263"
2,98,"51,4210526315789"
3,81,"43,1578947368421"
4,61,"37,5789473684211"
5,43,"32,3157894736842"
6,52,"28,421052631579"
7,25,"25,421052631579"
8,28,"22,7368421052632"
9,18,"20,5789473684211"
10,11,"18,9473684210526"
11,20,"17,7368421052632"
12,5,"16,4736842105263"
13,5,"15,4210526315789"
14,4,"14,7368421052632"
15,5,"14,0526315789474"
16,6,"13,2105263157895"
17,2,"12,4210526315789"
18,0,"12,6315789473684"
19,2,"12,8421052631579"
20,1,"13,6842105263158"
21,1,"14,6315789473684"
22,1,"15,8947368421053"
23,1,17
24,0,"18,9473684210526"
25,1,"20,6842105263158"
26,0,"23,1578947368421"
27,0,"25,3684210526316"
28,0,"27,3684210526316"
29,0,30
30,0,"32,7368421052632"
31,0,"35,7894736842105"
32,0,"38,8947368421053"
33,0,"42,2105263157895"
34,0,"45,7368421052632"
35,0,"49,1578947368421"
36,0,"52,2631578947368"
37,0,"55,2631578947368"
38,0,"58,3157894736842"
39,0,"60,6842105263158"
40,0,"62,8421052631579"
41,0,"64,8947368421053"
42,1,"65,5789473684211"
43,1,"67,1052631578947"
44,1,"67,8421052631579"
45,0,"67,6842105263158"
46,2,"68,8421052631579"
47,0,"69,4736842105263"
48,1,"70,4736842105263"
49,2,"71,8421052631579"
50,2,"71,9473684210526"
51,2,"73,5789473684211"
52,0,"73,2105263157895"
53,1,"73,0526315789474"
54,1,"73,7368421052632"
55,5,"74,421052631579"
56,3,75
57,1,"75,3157894736842"
58,1,"75,421052631579"
59,1,"75,7894736842105"
60,1,"76,6315789473684"
61,0,"77,8947368421053"
62,3,"77,9473684210526"
63,2,"78,8421052631579"
64,2,"79,8947368421053"
65,3,"80,1578947368421"
66,1,"80,8947368421053"
67,0,"80,8947368421053"
68,2,"81,3157894736842"
69,3,"82,5263157894737"
70,3,"83,0526315789474"
71,1,"84,1578947368421"
72,3,"86,0526315789474"
73,4,86
74,1,"86,5263157894737"
75,3,"87,8947368421053"
76,2,"88,6315789473684"
77,1,"89,6315789473684"
78,1,"90,6842105263158"
79,4,"91,2631578947368"
80,3,"91,3157894736842"
81,2,"91,6842105263158"
82,3,"92,1578947368421"
83,1,"93,421052631579"
84,3,95
85,0,96
86,5,"96,8947368421053"
87,3,"97,4736842105263"
88,3,100
89,1,"100,894736842105"
90,6,"102,947368421053"
91,1,"103,842105263158"
92,2,"105,105263157895"
93,0,"106,789473684211"
94,4,"107,368421052632"
95,3,"108,105263157895"
96,1,"108,473684210526"
97,0,"109,105263157895"
98,0,"111,052631578947"
99,2,"113,789473684211"
100,6,"116,473684210526"
101,1,"118,421052631579"
102,4,"119,368421052632"
103,6,"119,631578947368"
104,4,"121,052631578947"
105,3,"122,947368421053"
106,1,"124,526315789474"
107,4,"123,789473684211"
108,5,"124,210526315789"
109,3,"125,526315789474"
110,3,"127,105263157895"
111,1,"127,736842105263"
112,3,"127,631578947368"
113,2,"128,526315789474"
114,1,"129,947368421053"
115,2,"131,789473684211"
116,2,"133,421052631579"
117,2,"133,736842105263"
118,2,"135,684210526316"
119,3,136
120,4,"136,894736842105"
121,4,"138,736842105263"
122,3,"140,210526315789"
123,6,"141,263157894737"
124,3,"142,578947368421"
125,0,"142,736842105263"
126,3,"145,210526315789"
127,4,"146,210526315789"
128,2,"145,157894736842"
129,2,"145,526315789474"
130,3,"146,421052631579"
131,1,148
132,6,"149,894736842105"
133,2,"152,315789473684"
134,0,154
135,3,"155,210526315789"
136,4,"157,421052631579"
137,3,159
138,5,"161,368421052632"
139,3,"163,578947368421"
140,2,"167,631578947368"
141,3,"171,894736842105"
142,3,"177,473684210526"
143,0,"180,052631578947"
144,6,"185,421052631579"
145,3,"189,684210526316"
146,4,"194,421052631579"
147,4,"199,210526315789"
148,3,"202,894736842105"
149,0,"205,368421052632"
150,2,"207,526315789474"
151,4,"209,789473684211"
152,12,"210,947368421053"
153,8,"211,052631578947"
154,24,"212,157894736842"
155,34,"212,052631578947"
156,32,"211,315789473684"
157,43,"209,210526315789"
158,64,"207,526315789474"
159,76,"201,684210526316"
160,92,"197,789473684211"
161,74,"191,421052631579"
162,81,"187,157894736842"
163,73,"182,526315789474"
164,83,"178,421052631579"
165,60,"173,421052631579"
166,62,"169,894736842105"
167,37,"165,947368421053"
168,41,"164,473684210526"
169,32,"161,526315789474"
170,25,"158,315789473684"
171,18,156
172,18,"154,368421052632"
173,11,"151,947368421053"
174,8,"148,842105263158"
175,4,"145,421052631579"
176,5,"144,684210526316"
177,8,"144,210526315789"
178,5,"145,947368421053"
179,5,"145,842105263158"
180,7,"145,894736842105"
181,10,"147,684210526316"
182,3,"146,842105263158"
