Channel,Raw,Smoothed
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,7,23
11,5,8
12,7,7
13,9,7
14,7,6
15,1,5
16,7,5
17,5,4
18,3,4
19,2,3
20,1,3
21,3,3
22,1,2
23,3,2
24,3,2
25,2,2
26,0,2
27,3,1
28,0,1
29,1,1
30,0,1
31,1,1
32,2,1
33,2,1
34,1,1
35,2,1
36,0,1
37,4,1
38,1,1
39,2,1
40,1,1
41,0,1
42,1,1
43,0,1
44,0,1
45,3,1
46,0,1
47,1,1
48,5,1
49,4,2
50,0,2
51,1,3
52,2,3
53,2,4
54,3,6
55,2,8
56,4,10
57,3,13
58,6,15
59,9,18
60,4,21
61,14,25
62,17,30
63,23,33
64,40,37
65,40,43
66,44,47
67,50,51
68,56,57
69,70,64
70,71,71
71,75,77
72,101,84
73,72,89
74,84,93
75,119,98
76,85,103
77,106,108
78,129,113
79,152,117
80,157,121
81,121,126
82,152,130
83,122,134
84,125,138
85,146,143
86,141,145
87,147,149
88,146,152
89,156,156
90,149,157
91,173,159
92,164,161
93,172,163
94,163,166
95,190,168
96,164,170
97,172,173
98,160,173
99,217,175
100,180,176
101,192,179
102,159,179
103,189,180
104,196,180
105,169,181
106,176,181
107,206,183
108,157,184
109,188,185
110,172,184
111,201,185
112,192,184
113,178,184
114,177,184
115,183,183
116,191,184
117,197,185
118,187,183
119,180,183
120,201,183
121,195,183
122,178,181
123,168,180
124,187,179
125,180,179
126,187,180
127,185,178
128,168,177
129,165,176
130,177,176
131,173,174
132,167,173
133,163,172
134,163,173
135,183,172
136,187,171
137,155,171
138,170,171
139,177,171
140,178,170
141,164,171
142,166,170
143,166,172
144,179,173
145,172,173
146,159,173
147,178,171
148,185,172
149,167,171
150,160,170
151,188,170
152,158,170
153,210,170
154,186,170
155,160,170
156,172,168
157,148,167
158,172,166
159,157,165
160,147,164
161,178,163
162,177,162
163,152,161
164,183,158
165,165,156
166,134,156
167,145,156
168,158,156
169,162,154
170,150,154
171,141,153
172,153,152
173,131,151
174,160,151
175,150,148
176,157,147
177,170,146
178,148,145
179,133,143
180,147,141
181,137,140
182,148,138
183,147,136
184,156,135
185,135,132
186,139,130
187,116,128
188,123,125
189,108,122
190,123,122
191,124,120
192,103,118
193,114,115
194,107,112
195,94,109
196,115,107
197,104,104
198,106,103
199,103,101
200,121,100
201,112,98
202,91,97
203,76,96
204,101,95
205,85,93
206,87,92
207,80,91
208,103,90
209,80,88
210,80,87
211,78,85
212,98,84
213,97,84
214,79,84
215,77,83
216,75,82
217,80,82
218,81,81
219,80,80
220,82,79
221,78,79
222,88,79
223,85,78
224,87,75
225,68,75
226,77,75
227,69,74
228,65,73
229,76,73
230,68,73
231,78,73
232,77,72
233,71,71
234,53,70
235,71,68
236,71,69
237,62,68
238,65,68
239,72,68
240,75,67
241,83,66
242,60,65
243,61,65
244,65,64
245,61,65
246,79,65
247,48,64
248,76,65
249,58,65
250,62,63
251,58,63
252,57,62
253,65,61
254,59,62
255,73,62
256,55,61
257,67,60
258,73,61
259,64,60
260,43,59
261,56,59
262,69,59
263,46,60
264,69,59
265,64,59
266,56,57
267,62,57
268,60,57
269,45,56
270,52,56
271,55,56
272,67,56
273,60,55
274,53,56
275,53,56
276,43,55
277,57,55
278,54,55
279,59,55
280,55,56
281,46,56
282,65,56
283,47,56
284,70,55
285,71,55
286,33,55
287,58,56
288,66,56
289,46,55
290,66,55
291,53,55
292,63,55
293,64,55
294,49,54
295,51,53
296,57,53
297,56,54
298,51,54
299,48,53
300,49,54
301,50,53
302,50,52
303,58,51
304,37,51
305,57,51
306,58,50
307,61,50
308,44,50
309,64,50
310,52,51
311,45,51
312,44,50
313,46,50
314,48,50
315,54,50
316,41,49
317,56,48
318,49,47
319,59,47
320,53,46
321,56,46
322,35,47
323,51,47
324,41,47
325,46,47
326,40,47
327,33,47
328,48,47
329,37,47
330,52,46
331,47,46
332,51,46
333,57,46
334,47,46
335,46,46
336,46,46
337,42,46
338,58,47
339,50,47
340,42,48
341,49,48
342,49,48
343,43,48
344,44,47
345,43,48
346,50,48
347,45,48
348,50,48
349,49,47
350,65,47
351,46,47
352,49,47
353,47,47
354,40,47
355,60,47
356,41,47
357,50,47
358,40,47
359,41,47
360,50,47
361,51,46
362,40,45
363,44,45
364,47,45
365,43,45
366,49,44
367,45,44
368,45,44
369,48,45
370,50,45
371,43,45
372,41,45
373,48,45
374,41,45
375,34,45
376,38,45
377,44,45
378,46,45
379,57,44
380,41,45
381,56,44
382,48,45
383,41,45
384,44,45
385,48,45
386,41,45
387,46,45
388,45,45
389,44,45
390,50,44
391,46,44
392,52,43
393,42,43
394,47,42
395,35,42
396,41,41
397,46,41
398,36,41
399,45,40
400,33,40
401,45,39
402,38,38
403,39,37
404,38,37
405,29,37
406,34,38
407,34,38
408,44,37
409,37,37
410,37,37
411,33,37
412,28,37
413,32,37
414,45,37
415,42,37
416,48,38
417,35,38
418,42,38
419,37,38
420,36,38
421,29,38
422,42,38
423,37,39
424,43,39
425,47,38
426,46,38
427,32,37
428,39,37
429,38,36
430,39,36
431,34,35
432,30,35
433,49,34
434,38,34
435,29,33
436,35,32
437,26,32
438,32,32
439,29,31
440,30,31
441,31,30
442,23,30
443,24,30
444,34,29
445,27,29
446,20,29
447,38,28
448,27,27
449,31,27
450,31,26
451,29,26
452,33,26
453,27,26
454,30,27
455,23,26
456,29,26
457,19,26
458,15,25
459,21,25
460,19,24
461,30,24
462,30,24
463,24,24
464,31,24
465,21,23
466,22,23
467,18,23
468,25,23
469,22,24
470,16,24
471,25,24
472,30,23
473,30,23
474,24,23
475,26,22
476,19,22
477,16,23
478,27,23
479,34,22
480,23,22
481,18,22
482,22,22
483,29,21
484,10,21
485,22,21
486,22,21
487,28,21
488,18,22
489,18,21
490,14,20
491,24,20
492,16,20
493,20,21
494,24,20
495,26,21
496,21,20
497,20,20
498,28,20
499,17,20
500,13,20
501,18,20
502,30,20
503,26,20
504,17,20
505,21,20
506,16,19
507,24,19
508,19,19
509,15,19
510,24,19
511,20,19
512,20,19
513,21,19
514,8,18
515,16,18
516,11,18
517,18,18
518,22,18
519,25,18
520,16,18
521,23,18
522,20,18
523,23,18
524,18,18
525,17,18
526,17,18
527,14,18
528,17,18
529,15,17
530,28,17
531,14,17
532,20,17
533,17,17
534,19,16
535,20,16
536,12,16
537,15,16
538,14,16
539,13,16
540,15,17
541,16,16
542,17,16
543,18,16
544,15,16
545,19,17
546,18,16
547,17,17
548,14,17
549,18,17
550,20,17
551,12,17
552,22,17
553,21,17
554,18,17
555,23,16
556,17,17
557,18,17
558,14,17
559,17,17
560,17,17
561,11,16
562,15,16
563,18,16
564,14,15
565,11,16
566,23,15
567,19,15
568,17,15
569,18,15
570,14,15
